Schedule - Nov'25,,,,,,
SI No,Station,Customer,JS Code,Part No,Weight,Total Schedule given by sales
1,MC/Shop U1,ACCELLERON,ACC S01A,HZCL119852P0070,53.00, 900 
2,MC/Shop U1,ACCELLERON,ACC S03,HZTL121690P0001,33.50," 1,000 "
3,MC/Shop U1,ACCELLERON,ACC S05A,HZTL119889P0001,124.00, 24 
4,MC/Shop U1,ACCELLERON,ACC S05B,HZTL119890P0001,124.00, 66 
5,MC/Shop U1,ACCELLERON,ACC S05C,HZTL119890P0002,124.00, 20 
6,MC/Shop U1,ACCELLERON,ACC S06,HZTL116503P0014,83.00, 20 
7,MC/Shop U1,ACCELLERON,ACC S08D,HZTL119850P0070,45.00, 600 
8,MC/Shop U1,ADANI,ADA S03,6521110021,610.00, 20 
9,MC/Shop U1,ADANI,ADA S04,6521110020,360.00, 20 
10,MC/Shop U1,ADANI,ADA S05,6521110022,580.00, 20 
11,MC/Shop U1,AGCO,AGC 001B,4290866M5_050,255.37, 90 
12,MC/Shop U1,AGCO,AGC 001C,4290866M5_001,255.37, 270 
13,MC/Shop U1,AGCO,AGC 003,ACW3061410,3.86, 150 
14,MC/Shop U1,AGCO,AGC 005B,ACW1059590,8.43, 20 
15,MC/Shop U1,AGCO,AGC 011,ACW1854690,271.95, 72 
16,MC/Shop U1,AGCO,AGC 020,ACX4245880,1.28," 1,440 "
17,MC/Shop U1,AGCO,AGC 030,ACV081631B,10.05," 1,080 "
18,MC/Shop U1,AGCO,AGC S18,ACX3557170,20.00, 200 
19,MC/Shop U1,AGCO,AGC S25,ACW465077B,14.00, 44 
20,MC/Shop U1,AGCO,AGC S26,ACW404748B,14.00, 206 
21,Mc/Shop U1,AGCO,AGC S27,ACW5120510,59.00, 144 
22,MC/Shop U1,AGCO,AGC S30,ACX339100A,5.33, 216 
23,MC/Shop U1,AGCO,AGC S31,556986D1,52.00, 72 
24,MC/Shop U1,AGCO,AGC S33,ACW2371920,14.33, 200 
25,MC/Shop U1,AGCO,AGC S37,4284194M3,10.00, 306 
26,MC/Shop U1,AGCO,AGC S49A,556987D2,64.00, 24 
27,MC/Shop U1,AGCO,AGC S52,ACW8499660,8.45, 140 
28,MC/Shop U1,AGCO,AGC S53,ACW8499670,8.45, 240 
29,MC/Shop U1,AGCO,AGC S65,ACX4043280,12.30, 60 
30,MC/Shop U1,AGCO,AGC S66,ACX319403B,28.90, 40 
31,Mc/Shop U1,AGCO,AGC S82,ACX4876350,0.00, 400 
32,Mc/Shop U1,AGCO,AGC S85,ACX5316710,0.00, 450 
33,MC/Shop U1,AGCO,AGC S94,ACX319401A,23.11, 80 
34,MC/Shop U1,ALLISON,ALL S05,29574631,36.67, 96 
35,MC/Shop U1,ATI,ATI 001,3218X1428,24.30, 74 
36,MC/Shop U1,ATI,ATI S01,3298M13,23.87, 140 
37,MC/Shop U1,ATI,ATI S06,3298S19W,17.50, 107 
38,MC/Shop U1,ATI,ATI S14A,884011722E,31.40, 200 
39,MC/Shop U1,ATI,ATI S15,2230H1334,19.81, 200 
40,MC/Shop U1,ATI,ATI S16,223001006E,21.25, 60 
41,MC/Shop U1,ATI,ATI S31,884231002E,20.42, 108 
42,MC/Shop U1,ATI,ATI S33,3298H60W,15.25, 35 
43,MC/Shop U1,BTPL,BTPL S28,6652501370,16.00, 60 
44,MC/Shop U1,BTPL,BTPL S30,6650007100,23.00, 162 
45,MC/Shop U1,BTPL,BTPL S34,YP00011501,8.00, 405 
46,MC/Shop U1,BTPL,BTPL S47,YP00052035,205.00, 24 
47,MC/Shop U1,BTPL,BTPL S47,YP00030769,205.00, 186 
48,MC/Shop U1,BUB,BUB S08,8-604.00195,4.56, 300 
49,MC/Shop U1,BUB,BUB S09,8-604.00197,4.56, 300 
